Symbol,Series,Date,PrevClose,Open,High,Low,Last,Close,Average,Volume,Turnover,NoOfTrades,Deliverable,DeliveryPercent
LT,EQ,2025-06-11,3679.80,3689.9,3692.0,3656.1,3685.00,3684.8,3681.96,1265737,4660392611.8,50574,823638.0,65.07
LT,BL,2025-06-11,3589.20,3683.0,3683.0,3683.0,3683.00,3683.0,3683.00,271666,1000545878.0,1,,
LT,EQ,2025-06-12,3684.80,3684.8,3708.0,3585.0,3598.60,3603.9,3627.63,2335718,8473130704.7,126484,1189468.0,50.93
LT,EQ,2025-06-13,3603.90,3501.2,3596.0,3485.9,3586.20,3587.4,3562.24,1981445,7058392168.3,109875,1104375.0,55.74
LT,EQ,2025-06-16,3587.40,3575.5,3653.7,3561.8,3627.00,3628.7,3631.62,1322630,4803294516.5,84025,744455.0,56.29
LT,EQ,2025-06-17,3628.70,3622.0,3627.6,3602.0,3620.00,3622.3,3615.69,930603,3364773433.5,73746,551840.0,59.3
LT,EQ,2025-06-18,3622.30,3622.0,3639.1,3587.2,3600.80,3601.5,3605.23,743311,2679808741.3,60898,394465.0,53.07
LT,EQ,2025-06-19,3601.50,3607.0,3643.0,3591.1,3615.60,3621.1,3620.89,1580819,5723970604.3,97791,773255.0,48.91
LT,EQ,2025-06-20,3621.10,3614.0,3669.9,3614.0,3658.00,3662.0,3656.50,2575277,9416501920.0,119108,1863469.0,72.36
LT,EQ,2025-06-23,3662.00,3645.0,3660.0,3574.6,3579.00,3583.7,3598.86,1867977,6722585294.9,135563,1178760.0,63.1
LT,EQ,2025-06-24,3583.70,3637.1,3684.0,3597.0,3612.00,3604.8,3636.16,2751637,10005400885.0,152946,1221697.0,44.4
LT,EQ,2025-06-25,3604.80,3640.0,3642.0,3608.9,3623.90,3619.8,3622.10,1405262,5089995337.4,84597,770681.0,54.84
LT,EQ,2025-06-26,3619.80,3620.1,3669.0,3620.1,3660.30,3659.6,3647.42,2578926,9406435506.4,118158,1523653.0,59.08
LT,EQ,2025-06-27,3659.60,3665.0,3731.4,3665.0,3678.90,3679.2,3695.03,2720600,10052685084.1,132720,1581675.0,58.14
LT,EQ,2025-06-30,3679.20,3682.0,3717.5,3652.7,3671.00,3669.8,3680.80,1508882,5553892750.4,108176,895912.0,59.38
LT,EQ,2025-07-01,3669.80,3669.8,3678.9,3645.0,3665.00,3666.7,3664.57,1054380,3863844558.5,77782,619159.0,58.72
LT,EQ,2025-07-02,3666.70,3666.6,3674.2,3583.9,3593.80,3596.8,3611.63,1330176,4804109982.2,100999,817842.0,61.48
LT,EQ,2025-07-03,3596.80,3605.0,3625.0,3576.0,3581.40,3582.9,3595.20,1229034,4418622664.8,77121,667609.0,54.32
LT,EQ,2025-07-04,3582.90,3590.0,3600.0,3570.1,3595.00,3594.6,3587.51,696402,2498348963.6,61642,356813.0,51.24
LT,EQ,2025-07-07,3594.60,3599.9,3609.8,3575.1,3580.00,3581.4,3587.72,719539,2581506596.8,70912,455711.0,63.33
LT,EQ,2025-07-08,3581.40,3580.0,3614.0,3560.0,3607.00,3606.4,3589.92,1513912,5434829255.1,73277,1008999.0,66.65
LT,EQ,2025-07-09,3606.40,3605.0,3605.1,3568.2,3581.00,3579.7,3580.27,1008876,3612050199.9,73760,613030.0,60.76
LT,EQ,2025-07-10,3579.70,3575.0,3589.9,3569.0,3573.80,3574.7,3578.59,1063910,3807300848.5,59582,786512.0,73.93
LT,EQ,2025-07-11,3574.70,3575.0,3586.6,3535.5,3537.00,3540.6,3550.71,1439747,5112119676.9,126459,986607.0,68.53
LT,BL,2025-07-14,3683.00,3540.6,3540.6,3540.6,3540.60,3540.6,3540.60,248532,879952399.2,1,,
LT,EQ,2025-07-14,3540.60,3540.6,3548.7,3488.0,3493.90,3495.9,3498.73,1358844,4754231386.8,104044,961684.0,70.77
LT,EQ,2025-07-15,3495.90,3519.0,3521.0,3481.7,3495.50,3494.0,3498.33,1585193,5545521828.0,96670,1119154.0,70.6
LT,EQ,2025-07-16,3494.00,3504.0,3516.0,3477.0,3505.10,3503.8,3496.46,1266964,4429884889.6,87927,851819.0,67.23
LT,EQ,2025-07-17,3503.80,3515.0,3515.0,3467.5,3478.60,3474.0,3486.82,2217275,7731237608.8,85889,1605858.0,72.42
LT,EQ,2025-07-18,3474.00,3489.0,3499.0,3450.0,3468.70,3464.8,3462.40,1818696,6297044981.9,101524,1287731.0,70.81
LT,EQ,2025-07-21,3464.80,3467.6,3508.1,3444.9,3503.00,3502.8,3491.55,1521623,5312822362.8,77895,1008566.0,66.28
LT,EQ,2025-07-22,3502.80,3502.0,3507.6,3454.1,3468.00,3464.6,3470.70,2586522,8977037344.0,82376,2168191.0,83.83
LT,EQ,2025-07-23,3464.60,3476.2,3490.0,3458.6,3483.30,3484.9,3470.50,1192261,4137739256.4,59744,923989.0,77.5
LT,EQ,2025-07-24,3484.90,3484.9,3493.4,3461.0,3477.90,3477.5,3472.14,1083671,3762660752.6,55991,776185.0,71.63
LT,EQ,2025-07-25,3477.50,3470.0,3477.0,3437.4,3442.00,3442.9,3454.40,1338744,4624553661.1,75006,914390.0,68.3
LT,EQ,2025-07-28,3442.90,3430.1,3446.1,3405.1,3421.50,3422.2,3424.05,2256080,7724940517.2,87996,1588791.0,70.42
LT,EQ,2025-07-29,3422.20,3418.0,3504.3,3406.5,3488.00,3495.6,3462.01,1241060,4296560618.6,95304,623061.0,50.2
LT,EQ,2025-07-30,3495.60,3622.0,3685.3,3590.0,3659.20,3665.1,3645.37,8760659,31935832700.7,427790,5063512.0,57.8
LT,EQ,2025-07-31,3665.10,3625.0,3662.9,3621.0,3628.50,3636.5,3646.85,1927627,7029771788.9,107576,1047227.0,54.33
LT,EQ,2025-08-01,3636.50,3636.0,3636.0,3578.1,3595.20,3587.3,3602.61,1205945,4344549401.3,83517,735692.0,61.01
LT,EQ,2025-08-04,3587.30,3595.2,3636.8,3577.0,3630.00,3631.1,3621.92,1033049,3741615734.1,110335,695739.0,67.35
LT,EQ,2025-08-05,3631.10,3630.0,3657.7,3608.3,3650.00,3652.6,3637.79,1158433,4214132130.3,89832,735527.0,63.49
LT,EQ,2025-08-06,3652.60,3650.0,3671.0,3622.2,3633.00,3628.4,3637.58,931383,3387981547.8,60406,590877.0,63.44
LT,EQ,2025-08-07,3628.40,3610.3,3649.0,3599.2,3641.80,3641.6,3615.09,1211790,4380734335.5,72219,762885.0,62.96
LT,EQ,2025-08-08,3641.60,3641.6,3662.3,3600.0,3610.00,3607.6,3628.12,1337067,4851043230.0,59130,948514.0,70.94
LT,EQ,2025-08-11,3607.60,3610.0,3676.9,3600.0,3672.00,3668.4,3651.77,1822410,6655022511.2,118763,1212722.0,66.54
LT,EQ,2025-08-12,3668.40,3680.0,3727.9,3673.1,3679.80,3686.1,3699.97,2280103,8436303381.3,139129,1335582.0,58.58
LT,EQ,2025-08-13,3686.10,3696.0,3716.0,3681.3,3692.00,3693.7,3702.13,1227196,4543245201.1,72453,780889.0,63.63
LT,EQ,2025-08-14,3693.70,3700.0,3708.5,3641.7,3672.10,3677.0,3669.60,1769702,6494100710.3,84392,1169250.0,66.07
LT,EQ,2025-08-18,3677.00,3699.0,3701.5,3621.7,3640.00,3635.1,3642.97,1950151,7104345277.1,101347,1222553.0,62.69
